event_key,mkey,vehicle_num,event_num,event_code,is_defining_event,tier1_name,tier1_num,tier2_name,tier2_num,soe_group,phase_group,silver_loaded_at
30,202220,1,3,400240,True,Enroute,400,Loss of control in flight,240,Loss of Control (Inflight),Enroute,2026-04-03 04:05:44.570293+00:00
31,202220,1,4,600440,False,Emergency descent,600,Off-field or emergency landing,440,Other,Emergency Descent,2026-04-03 04:05:44.570293+00:00
32,202261,1,1,300900,True,Takeoff,300,Miscellaneous/other,900,,Takeoff,2026-04-03 04:05:44.570293+00:00
33,202207,1,1,400341,True,Enroute,400,Loss of engine power (total),341,System/Component Failure (Powerplant),Enroute,2026-04-03 04:05:44.570293+00:00
34,202203,1,3,402342,True,Enroute-cruise,402,Loss of engine power (partial),342,System/Component Failure (Powerplant),Enroute,2026-04-03 04:05:44.570293+00:00
35,202203,1,4,452240,False,Maneuvering-low-alt flying,452,Loss of control in flight,240,Loss of Control (Inflight),Maneuvering,2026-04-03 04:05:44.570293+00:00
36,202202,1,1,250200,True,Taxi,250,Ground collision,200,Ground Collision,Taxi,2026-04-03 04:05:44.570293+00:00
37,202202,2,1,251200,True,Taxi-to runway,251,Ground collision,200,Ground Collision,Taxi,2026-04-03 04:05:44.570293+00:00
38,202194,1,1,551230,True,Landing-flare/touchdown,551,Loss of control on ground,230,Loss of Control (Ground),Landing,2026-04-03 04:05:44.570293+00:00
39,202201,1,1,500120,True,Approach,500,Controlled flight into terr/obj (CFIT),120,CFIT,Approach,2026-04-03 04:05:44.570293+00:00
40,202205,1,1,402360,True,Enroute-cruise,402,Turbulence encounter,360,Turbulence,Enroute,2026-04-03 04:05:44.570293+00:00
41,202232,1,1,450901,True,Maneuvering,450,Birdstrike,901,Other,Maneuvering,2026-04-03 04:05:44.570293+00:00
42,202260,1,1,508333,True,Approach-VFR pattern final,508,Flight control sys malf/fail,333,System/Component Failure (Non-Powerplant),Approach,2026-04-03 04:05:44.570293+00:00
43,202199,1,1,551096,True,Landing-flare/touchdown,551,Nose over/nose down,096,Abnormal Runway Contact,Landing,2026-04-03 04:05:44.570293+00:00
