vehicle_key,mkey,vehicle_num,make,model,model_family,aircraft_category,serial_number,registration_number,damage_level,fire_type,explosion_type,number_of_engines,engine_type,ga_flight,amateur_built,operator_name,far_part,flight_operation_type,silver_loaded_at
281,200721,1,BEECH,A36,BEECH A36,AIR,,N4970M,Unknown,None,None,1.0,,True,False,,000,,2026-04-03 04:05:44.570293+00:00
282,200722,1,AERONCA,7AC,AERONCA 7AC,AIR,,N84726,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
283,200716,1,BEECH,300,BEECH 300,AIR,,N534AW,Destroyed,On-Ground,None,2.0,,False,False,CSI AVIATION INC,135,POSI,2026-04-03 04:05:44.570293+00:00
284,200719,1,GARY W LEWINSKI,SONEX,GARY W LEWINSKI SONEX,AIR,,N67BG,Substantial,On-Ground,None,1.0,,True,True,,091,PERS,2026-04-03 04:05:44.570293+00:00
285,200710,1,CESSNA,172N,CESSNA 172N,AIR,,N1213F,Substantial,None,None,1.0,,True,False,FLIGHT ANSWERS LLC,091,INST,2026-04-03 04:05:44.570293+00:00
286,200712,1,ROBINSON HELICOPTER COMPANY,R44 II,ROBINSON HELICOPTER COMPANY R44,HELI,,N750GT,Substantial,None,None,1.0,REC,True,False,Anna Kopp,091,PERS,2026-04-03 04:05:44.570293+00:00
287,200729,1,AIRBUS,A321,AIRBUS A321,AIR,,EC-OOJ,Unknown,None,None,2.0,TF,False,False,Iberia,000,,2026-04-03 04:05:44.570293+00:00
288,200693,1,ROBINSON HELICOPTER,R22 BETA,ROBINSON HELICOPTER R22,HELI,,N4684S,Substantial,None,None,1.0,REC,True,False,,091,INST,2026-04-03 04:05:44.570293+00:00
289,200696,1,AIR TRACTOR INC,AT-400A,AIR TRACTOR INC AT-400A,AIR,,N3157B,Substantial,None,None,1.0,TP,True,False,Black Dog Aviation,091,AAPL,2026-04-03 04:05:44.570293+00:00
290,200704,1,PIPER,PA-28-180,PIPER PA-28-180,AIR,,N8359W,Substantial,None,None,1.0,,True,False,,091,INST,2026-04-03 04:05:44.570293+00:00
291,200689,1,LIONAL RAY WARD,WARD F-4 ROCKET,LIONAL RAY WARD WARD,AIR,,N31VX,Substantial,None,None,1.0,,True,False,,000,PERS,2026-04-03 04:05:44.570293+00:00
292,200715,1,JABIRU AIRCRAFT PTY LTD,J230-D,JABIRU AIRCRAFT PTY LTD J230-D,AIR,,N784J,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
293,200694,1,CESSNA,188,CESSNA 188,AIR,,HK1635,Substantial,None,None,,,False,False,AGRICOLA DE SERVICIOS AEREOS DEL META ASAM S.A.S,000,,2026-04-03 04:05:44.570293+00:00
294,200711,1,CESSNA,A185E,CESSNA A185E,AIR,,N2252T,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
295,200687,1,AVIAT AIRCRAFT INC,A-1B,AVIAT AIRCRAFT INC A-1B,AIR,,N900HY,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
296,200743,1,BOEING,737,BOEING 737,AIR,,ZS-ZWO,None,None,None,2.0,TF,False,False,Safair Operations Pty Ltd,000,,2026-04-03 04:05:44.570293+00:00
297,200684,1,CESSNA,152,CESSNA 152,AIR,,N6125B,Destroyed,None,None,1.0,,True,False,BV ROAD AND SITE LLC,091,UNK,2026-04-03 04:05:44.570293+00:00
298,200686,1,CESSNA,U206F,CESSNA U206F,AIR,,N206GR,Substantial,None,None,1.0,REC,True,False,,091,OWRK,2026-04-03 04:05:44.570293+00:00
299,200680,1,PIPER,J5C,PIPER J5C,AIR,,N28151,Substantial,None,None,1.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
300,200698,1,CESSNA,TU206,CESSNA TU206,AIR,,N9493Z,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
301,200751,1,BELL,206,BELL 206,HELI,,C-GGAS,Substantial,None,None,,,False,False,,000,,2026-04-03 04:05:44.570293+00:00
302,200685,1,CESSNA,208B,CESSNA 208B,AIR,,N645AT,Substantial,None,None,1.0,TP,False,False,J & M Alaska Air Tours,135,,2026-04-03 04:05:44.570293+00:00
303,200683,1,SCHLEICHER,ASW27-18,SCHLEICHER ASW27-18,GLI,,N929JK,Destroyed,On-Ground,Unknown,0.0,,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
304,200774,1,CESSNA,TR182,CESSNA TR182,AIR,,HK2434G,Substantial,Unknown,Unknown,1.0,REC,False,False,,000,,2026-04-03 04:05:44.570293+00:00
305,200951,1,CESSNA,152,CESSNA 152,AIR,,N69200,Substantial,None,None,1.0,REC,True,False,,091,PERS,2026-04-03 04:05:44.570293+00:00
